New_Segment,New_Description
852000,INTEREST PAID
852001,WCL INTEREST
852002,DCS TERM DEPOSIT INTEREST
852003,NDDB DIDF LOAN INTEREST
860000,SELLING & DISTRIBUTION EXPENSES 
861000,SELLING & DISTRIBUTION EXPENSES 
861001,FREIGHT OUTWARD MILK & MILK PRODUCTS
861002,PROMOTIONAL SALES EXPENSES
861003,LABELLING & GRADING 
861005,OTHER MARKETING EXPENSES 
870000,DEPRECIATION EXPENSES
871000,DEPRECIATION EXPENSES
871001,ASSETS UNDER NDP-1 RBP DEPRECIATION
871002,BORE WELL DEPRECIATION
871003,BUILDINGS DEPRECIATION
871004,BULK MILK COOLERS DEPRECIATION
871005,CANTEEN EQUIPMENTS DEPRECIATION
871006,COMPUTER DEPRECIATION
871007,EFFLUENT TREATMENT PLANT DEPRECIATION
871008,FURNITURE & FIXTURE DEPRECIATION
871009,LABORATORY EQUIPMENT DEPRECIATION
871010,LAND ON LEASE DEPRECIATION
871011,LN2 CONTAINER DEPRECIATION
871012,OFFICE EQUIPMENT DEPRECIATION
871013,PLANT & MACHINARY DEPRECIATION
871014,SOLAR WATER HEATING PLANT (CST) DEPRECIATION
871015,VEHICLE DEPRECIATION
880000,PROVISIONS
881000,PROVISIONS
881001,TRADE FLUCTUATION
881002,INFRASTRUCTURE FUND PROVISION
881003,PROVISION FOR INCOME TAX
