product_code,product_description
NMJR1000,GHEE JAR 1 LTR
NMJR5000,GHEE JAR 5 LTR
NMJT0500,SUGAR FREE JAMOON TIN 500 GM
NMKE0200,PET BOTTLE GOOD LIFE KESAR BADAM FM 200
NMKP0180,SIRI DANYA KARA PONGAL 180 GM
NMKP0200,KASHAYA PET BOTTLE 200 ML
NMLA0200,GREEN GRAM LADU 200 GM
NMLD0200,TETRA PAK LYCHEE WHEY DRINKS 200 ML
NMLD0250,GHEE LADU 250 GM
NMLI0014,CHOCO LICIOUS 14 GMS
NMLL0200,LADAGI LADU 200 GM
NMLM0200,LITCHI BOTTLE FM 200 ML
NMLO0100,BADAM HALWA 100 GM OLD
NMLP0200,PET BOTTLE GOOD LIFE STRAWBERRY FM 200
NMMA0150,SHRIKHAND MANGO 150 GM
NMMA0200,TETRA MANGO 200 ML
NMMA0400,SHRIKHAND MANGO 400 GM
NMMA0600,SHRIKHAND MANGO 600 GM
NMMB0200,SPECIAL MILK BURFI 200 GM
NMMC0018,GOOD LIFE ORANGE MILK CHOCO 18 GM
NMMC0036,GL RICH MILK CHOCO 36 GM
NMMC0038,GL DELISH MILK CHOCO 38GM
NMMC0050,GL DELISH MILK CHOCO 50 GM
NMMC0080,GL RICH MILK CHOCO 80 GM
NMMC0200,MILK SHAKE CHOCOLATE 200 ML
NMMD0200,TETRA PAK MANGO WHEY DRINKS 200 ML
NMMH0018,GL DELISH MILK CHOCO 18GM
NMMI0200,MILLET MALT MIX 200 GM
NMML0180,PET BOTTLE GOOD LIFE MANGO LASSI 180 ML
NMML0200,TETRA MANGO LASSI 200 ML
NMMM0200,MILK MILLET MALT MIX 200 GM
NMMN0200,PET BOTTLE GOOD LIFE MANGO LASSI 200 ML
NMMP0010,BADAM POWDER 10 GM
NMMP0050,SKIM MILK POWDER 50 GM
NMMP0100,SKIM MILK POWDER 100 GM
NMMP0200,SKIM MILK POWDER 200 GM
NMMP0500,SKIM MILK POWDER 500 GM
NMMP0001,SKIM MILK POWDER 1 KG
NMMS0180,PET BOTTLE GOOD LIFE VANILLA MILK SHAKE 180
NMMS0200,PET BOTTLE GOOD LIFE VANILLA MILK SHAKE200
NMMT0200,MOTI CHOOR LADU 200 GM
NMMV0200,MILK SHAKE VANILLA 200 ML
NMMX0200,JAMOON MIX 200 GM
NMNB0200,PEA NUT BURFI 200 GM
NMNC0012,PEA NUT CHIKKI 12 GM
NMNC0018,GL RAISING & NUTS MILK CHOCO 18 GM
NMNC0025,PEA NUT CHIKKI 25 GM
NMNC0036,GL RAISING & NUTS MILK CHOCO 36 GM
NMNC0038,GL RAISING & NUTS MILK CHOCO 38GM
NMNC0080,GL RAISING & NUTS MILK CHOCO 80 GM
NMNC0100,PEA NUT CHIKKI 100 GM
NMNN0200,BANANA PET BOTTLE 200 ML
NMNP0200,MANGO PET BOTTLE 200 ML
NMNR0200,KUNDA RETORT 200 GM
NMNR0250,KHOVA CHOCO NUTTY ROLL 250 GM
NMNR0400,KUNDA RETORT 400 GM
NMOD0200,TETRA PAK ORANGE WHEY DRINK 200 ML
NMOR0200,BOUNCE CORBONATED DRINKS ORANGE 200 ML
NMOV0200,KHOVA 200 GM
NMPA0150,SHRIKHAND PINEAPPLE 150 GM
NMPA0200,SIRI DANYA PAYASA 200 GM
NMPB0200,ROSE PET BOTTLE FM 200 ML
NMPE0200,SUGAR FREE PEDA 200 GM
NMPE0250,ELAICHI PEDA 250 GM
NMPF0200,PEPPER BOTTLE FM 200 ML
NMPG0180,PET BOTTLE GOOD LIFE KESAR BADAM FM 180
NMPG0200,PET BOTTLE GOOD LIFE BUTTER MILK 200
NMPL0200,TETRA PLAIN LASSI 200 ML
NMPM0180,PET BOTTLE GOOD LIFE CHOCOLATE MILK SHAKE 180
NMPM0200,PISTA BOTTLE FM 200 ML
NMPP0180,PET BOTTLE GOOD LIFE PISTA FM 180
NMPP0200,PISTA PET BOTTLE FM 200 ML
NMPPBAG1,SMP POLY POUCH 1 KG OF 20 KG BAG
NMPT0000,CHOCOLATE GIFT PACK TIN
NMPU0012,GHEE POUCH 12 ML
NMRB0000,WATER BULK
NMRB0200,TURMERIC BOTTLE 200 ML
NMRC0020,COOKIES RED CHILLI 20 GM
NMRC0100,COOKIES RED CHILLI 100 GM
NMRJ0500,RTE JAMOON RTE RASAGULLA TIN COMBO PACK
NMRM0200,ROSE BOTTLE FM 200 ML
NMRT0500,JAMOON RTE TIN 500 GM
NMSB0200,MILK SHAKE BUTTER SCOTCH 200 ML
NMSH0200,SHRIKHAND MANGO 200 GM
NMSK0020,MILK RUSK 20 GM
NMSK0075,MILK RUSK 75 GMS
NMSKO075,MILK RUSK 75 GM OLD
NMSL0180,PET BOTTLE GOOD LIFE SWEET LASSI 180
NMSL0200,PET BOTTLE GOOD LIFE SWEET LASSI 200
NMSM0100,SHRIKHAND MANGO 100 GMS
NMSM0200,MILK SHAKE MANGO 200 ML
NMSP0150,GHEE SOAN PAPDI 150 GM
NMSP0180,SIRI DANYA SWEET PONGAL 180 GM
NMSP0200,CHEESE SPREAD PEPPER 200 GM
NMSS0020,COOKIES SWEET AND SALT 20 GM
NMSS0100,COOKIES SWEET AND SALT 100 GM
NMST0100,YOGURT STRABERRY 100 ML
NMST0150,SHRIKHAND STRAWBERRY 150 GM
NMST0500,RASAGULLA TIN 500 GM
NMST1000,20 TYPES OF ASSORTED SWEETS 1000 GMS
